ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
rq4graded,6.75,3.8,0.25,6000,11,0.0229,0.1057
rq4graded,6.75,3.8,0.25,6000,12,0.0187,0.0966
rq4graded,6.75,3.8,0.25,6000,13,0.0135,0.0768
rq4graded,6.75,3.8,0.25,6000,14,0.011,0.0635
rq4graded,6.75,3.8,0.25,6000,15,0.0063,0.0523
rq4graded,6.75,3.8,0.25,6000,16,0.0048,0.0466
rq4graded,6.75,3.8,0.25,6000,17,0.0028,0.0387
rq4graded,6.75,3.8,0.25,6000,18,0.0019,0.0199
floor1,6.75,3.8,0.27,6000,0,0.428,1.2197
floor1,6.75,3.8,0.27,6000,1,0.1233,0.8311
floor1,6.75,3.8,0.27,6000,2,0.0711,0.6868
floor1,6.75,3.8,0.27,6000,3,0.0602,0.5714
floor1,6.75,3.8,0.27,6000,4,0.057,0.4538
floor1,6.75,3.8,0.27,6000,5,0.0447,0.3592
floor1,6.75,3.8,0.27,6000,6,0.0369,0.2839
floor1,6.75,3.8,0.27,6000,7,0.0326,0.2216
floor1,6.75,3.8,0.27,6000,8,0.0283,0.1863
floor1,6.75,3.8,0.27,6000,9,0.0261,0.1459
floor1,6.75,3.8,0.27,6000,10,0.0192,0.1224
floor1,6.75,3.8,0.27,6000,11,0.0222,0.0954
floor1,6.75,3.8,0.27,6000,12,0.0146,0.0806
floor1,6.75,3.8,0.27,6000,13,0.0129,0.0683
floor1,6.75,3.8,0.27,6000,14,0.0085,0.0538
floor1,6.75,3.8,0.27,6000,15,0.0061,0.0502
floor1,6.75,3.8,0.27,6000,16,0.004,0.0434
floor1,6.75,3.8,0.27,6000,17,0.0022,0.0301
floor1,6.75,3.8,0.27,6000,18,0.0018,0.0195
rq4graded,6.75,3.8,0.27,6000,0,0.2999,1.3149
rq4graded,6.75,3.8,0.27,6000,1,0.2039,0.9679
